user_id,status_id,created_at,screen_name,text,source,display_text_width,reply_to_status_id,reply_to_user_id,reply_to_screen_name,is_quote,is_retweet,favorite_count,retweet_count,quote_count,reply_count,hashtags,symbols,urls_url,urls_t.co,urls_expanded_url,media_url,media_t.co,media_expanded_url,media_type,ext_media_url,ext_media_t.co,ext_media_expanded_url,ext_media_type,mentions_user_id,mentions_screen_name,lang,quoted_status_id,quoted_text,quoted_created_at,quoted_source,quoted_favorite_count,quoted_retweet_count,quoted_user_id,quoted_screen_name,quoted_name,quoted_followers_count,quoted_friends_count,quoted_statuses_count,quoted_location,quoted_description,quoted_verified,retweet_status_id,retweet_text,retweet_created_at,retweet_source,retweet_favorite_count,retweet_retweet_count,retweet_user_id,retweet_screen_name,retweet_name,retweet_followers_count,retweet_friends_count,retweet_statuses_count,retweet_location,retweet_description,retweet_verified,place_url,place_name,place_full_name,place_type,country,country_code,geo_coords,coords_coords,bbox_coords,status_url,name,location,description,url,protected,followers_count,friends_count,listed_count,statuses_count,favourites_count,account_created_at,verified,profile_url,profile_expanded_url,account_lang,profile_banner_url,profile_background_url,profile_image_url
1170192953161027584,1385415103307079680,2021-04-23T02:07:55Z,ModiApna,"Theif who stole 182 vials of Covidshield and 440 vials of Covaxine from Jind(Haryana) civil hospital, left these at a tea stall, apologized..

Sorry, I didn't know it was Corona Vaccine.. https://t.co/LAydZ4aulZ",Twitter for Android,140,,,,FALSE,TRUE,0,98,,,,,,,,,,,,,,,,56321146,Navrang,en,,,,,,,,,,,,,,,,1385267948630118406,"Theif who stole 182 vials of Covidshield and 440 vials of Covaxine from Jind(Haryana) civil hospital, left these at a tea stall, apologized..

Sorry, I didn't know it was Corona Vaccine.. https://t.co/LAydZ4aulZ",2021-04-22T16:23:10Z,Twitter for Android,295,98,56321146,Navrang,नवरंग,23471,4817,82247,"New Delhi, India",Communication is what I'm learning for 15 years. Campaigns give me fresh lease of Life. I DO What I Like! Join https://t.co/TLoBBDSnY6,FALSE,,,,,,,|,|,|||||||,https://twitter.com/ModiApna/status/1385415103307079680,Apna Modi Apna Manohar,"",official Twitter account of tha apna modi apna manohar uchana,,FALSE,147,461,0,802,2531,2019-09-07T04:32:07Z,FALSE,,,,https://pbs.twimg.com/profile_banners/1170192953161027584/1586169196,,http://pbs.twimg.com/profile_images/1170367376157659137/jy4IYwID_normal.jpg
887274408510758913,1385414311711940608,2021-04-23T02:04:46Z,Sudan309,"Theif who stole 182 vials of Covidshield and 440 vials of Covaxine from Jind(Haryana) civil hospital, left these at a tea stall, apologized..

Sorry, I didn't know it was Corona Vaccine.. https://t.co/LAydZ4aulZ",Twitter for Android,140,,,,FALSE,TRUE,0,98,,,,,,,,,,,,,,,,56321146,Navrang,en,,,,,,,,,,,,,,,,1385267948630118406,"Theif who stole 182 vials of Covidshield and 440 vials of Covaxine from Jind(Haryana) civil hospital, left these at a tea stall, apologized..

Sorry, I didn't know it was Corona Vaccine.. https://t.co/LAydZ4aulZ",2021-04-22T16:23:10Z,Twitter for Android,295,98,56321146,Navrang,नवरंग,23471,4817,82247,"New Delhi, India",Communication is what I'm learning for 15 years. Campaigns give me fresh lease of Life. I DO What I Like! Join https://t.co/TLoBBDSnY6,FALSE,,,,,,,|,|,|||||||,https://twitter.com/Sudan309/status/1385414311711940608,सुदन श्रेष्ठ,Nepal,"",,FALSE,58,85,0,1332,6973,2017-07-18T11:34:38Z,FALSE,,,,https://pbs.twimg.com/profile_banners/887274408510758913/1535420255,,http://pbs.twimg.com/profile_images/1039175044184899584/x0SCJKDe_normal.jpg
357018598,1385410921590247427,2021-04-23T01:51:18Z,Being_Pagan,"Theif who stole 182 vials of Covidshield and 440 vials of Covaxine from Jind(Haryana) civil hospital, left these at a tea stall, apologized..

Sorry, I didn't know it was Corona Vaccine.. https://t.co/LAydZ4aulZ",Twitter for Android,140,,,,FALSE,TRUE,0,98,,,,,,,,,,,,,,,,56321146,Navrang,en,,,,,,,,,,,,,,,,1385267948630118406,"Theif who stole 182 vials of Covidshield and 440 vials of Covaxine from Jind(Haryana) civil hospital, left these at a tea stall, apologized..

Sorry, I didn't know it was Corona Vaccine.. https://t.co/LAydZ4aulZ",2021-04-22T16:23:10Z,Twitter for Android,295,98,56321146,Navrang,नवरंग,23471,4817,82247,"New Delhi, India",Communication is what I'm learning for 15 years. Campaigns give me fresh lease of Life. I DO What I Like! Join https://t.co/TLoBBDSnY6,FALSE,,,,,,,|,|,|||||||,https://twitter.com/Being_Pagan/status/1385410921590247427,विदुर:,"Bihar, India","संस्कृत।
Pagan.Heathen.Kufr.Infidel
समर शेष है, नहीं पाप का भागी केवल व्याध,
जो तटस्थ हैं, समय लिखेगा उनका भी अपराध।
Bad Grammer.
RTs/Likes are not endorsement.",,FALSE,601,223,33,182001,38761,2011-08-17T18:30:00Z,FALSE,,,,https://pbs.twimg.com/profile_banners/357018598/1573452562,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1290604710584414212/z03Hhylf_normal.jpg
729292951931609088,1385410307170869257,2021-04-23T01:48:51Z,iamdivs04,"Two days ago @albyjohnV @kprabhdeep @scientistganesh held a webinar answering questions on #covid19 vaccination
I have compiled 30 of them in this article 
30 questions on #covid19 vaccination answered by experts
 https://t.co/9JXMW0iJwT via @timesofindia",Twitter for Android,140,,,,FALSE,TRUE,0,65,,,covid19,,,,,,,,,,,,,4220144600|72850626|145124708|842562204557701120,SiddharthPTOI|albyjohnV|kprabhdeep|scientistganesh,en,,,,,,,,,,,,,,,,1385133513674874883,"Two days ago @albyjohnV @kprabhdeep @scientistganesh held a webinar answering questions on #covid19 vaccination
I have compiled 30 of them in this article 
30 questions on #covid19 vaccination answered by experts
 https://t.co/9JXMW0iJwT via @timesofindia",2021-04-22T07:28:58Z,Twitter Web App,97,65,4220144600,SiddharthPTOI,Siddharth TOI,3415,679,7032,"Chennai, India","Journalist, Times of India Chennai bureau. 
Chennai Corporation, Customs, Railways, vigilance, CBI, etc.
English. તમિલ. இந்தி. गुजराती.",FALSE,,,,,,,|,|,|||||||,https://twitter.com/iamdivs04/status/1385410307170869257,Divya Kasiviswanathan,"Bengaluru, India","Author / Storyteller, IT Professional",,FALSE,50,52,0,539,421,2016-05-08T12:52:44Z,FALSE,,,,https://pbs.twimg.com/profile_banners/729292951931609088/1463062141,,http://pbs.twimg.com/profile_images/1071699810753798144/knX9aUav_normal.jpg
885023635823624194,1385409909982830592,2021-04-23T01:47:16Z,SandipSVCE,@AravindhBala90 @Aadhivaasee1 Covaxin or Covidshield or Sputnik we should get what's available apart from the Chinese vaccine Sinopvac. I am getting worried TN will be worse hit in 3rd wave thanks to dumeels vaccination is very low Kerala has done more vaccination than TN.Govt should do something to increase,Twitter for Android,279,1385395241818083328,1214197002977734657,AravindhBala90,FALSE,FALSE,1,0,,,,,,,,,,,,,,,,1214197002977734657|1180034869029527553,AravindhBala90|Aadhivaasee1,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|,|,|||||||,https://twitter.com/SandipSVCE/status/1385409909982830592,Container போராலி,"",soriyar pannis and Deemka upees stay away .,,FALSE,439,59,0,22744,22742,2017-07-12T06:30:52Z,FALSE,,,,https://pbs.twimg.com/profile_banners/885023635823624194/1617858259,,http://pbs.twimg.com/profile_images/1380023039484567553/vT3kTYgc_normal.jpg
885023635823624194,1384803289103966213,2021-04-21T09:36:47Z,SandipSVCE,"@uppuSSinghh It's not wastage , out of the vaccines declared as wastage minimum 40% is getting administered to people who are below 45 age group .plus what If hospitals declare it wastage and sell it in private to someone else at higher rate .True Covidshield comes in pack of 10 vials",Twitter for Android,272,1384768761140453378,1071398942506663937,uppuSSinghh,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,1071398942506663937,uppuSSinghh,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|,|,|||||||,https://twitter.com/SandipSVCE/status/1384803289103966213,Container போராலி,"",soriyar pannis and Deemka upees stay away .,,FALSE,439,59,0,22744,22742,2017-07-12T06:30:52Z,FALSE,,,,https://pbs.twimg.com/profile_banners/885023635823624194/1617858259,,http://pbs.twimg.com/profile_images/1380023039484567553/vT3kTYgc_normal.jpg
885023635823624194,1385109939715133444,2021-04-22T05:55:18Z,SandipSVCE,@itz_katti Pfizer aaaa Inga engaluku Covidshield illa Covaxin than adhuvum next month 1st ku appuram than try panunum .Slight fever and body pains will be there for day or two .,Twitter for Android,166,1385104297818562560,1274607652950216710,itz_katti,FALSE,FALSE,1,0,,,,,,,,,,,,,,,,1274607652950216710,itz_katti,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|,|,|||||||,https://twitter.com/SandipSVCE/status/1385109939715133444,Container போராலி,"",soriyar pannis and Deemka upees stay away .,,FALSE,439,59,0,22744,22742,2017-07-12T06:30:52Z,FALSE,,,,https://pbs.twimg.com/profile_banners/885023635823624194/1617858259,,http://pbs.twimg.com/profile_images/1380023039484567553/vT3kTYgc_normal.jpg
885023635823624194,1382992984493285378,2021-04-16T09:43:16Z,SandipSVCE,@SkipperTrends @btw_LiF_n_DeTh @sumanthraman @Actor_Vivek Efficiency of Covidshield is close to 90% and Covaxin is around 80%,Twitter for Android,67,1382959539226497024,1172842408645513218,SkipperTrends,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,1172842408645513218|87439043|54436268|1402944379,SkipperTrends|btw_LiF_n_DeTh|sumanthraman|Actor_Vivek,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|,|,|||||||,https://twitter.com/SandipSVCE/status/1382992984493285378,Container போராலி,"",soriyar pannis and Deemka upees stay away .,,FALSE,439,59,0,22744,22742,2017-07-12T06:30:52Z,FALSE,,,,https://pbs.twimg.com/profile_banners/885023635823624194/1617858259,,http://pbs.twimg.com/profile_images/1380023039484567553/vT3kTYgc_normal.jpg
2500619276,1385408246815412225,2021-04-23T01:40:40Z,pn_naveen_,"Theif who stole 182 vials of Covidshield and 440 vials of Covaxine from Jind(Haryana) civil hospital, left these at a tea stall, apologized..

Sorry, I didn't know it was Corona Vaccine.. https://t.co/LAydZ4aulZ",Twitter for Android,140,,,,FALSE,TRUE,0,98,,,,,,,,,,,,,,,,56321146,Navrang,en,,,,,,,,,,,,,,,,1385267948630118406,"Theif who stole 182 vials of Covidshield and 440 vials of Covaxine from Jind(Haryana) civil hospital, left these at a tea stall, apologized..

Sorry, I didn't know it was Corona Vaccine.. https://t.co/LAydZ4aulZ",2021-04-22T16:23:10Z,Twitter for Android,295,98,56321146,Navrang,नवरंग,23471,4817,82247,"New Delhi, India",Communication is what I'm learning for 15 years. Campaigns give me fresh lease of Life. I DO What I Like! Join https://t.co/TLoBBDSnY6,FALSE,,,,,,,|,|,|||||||,https://twitter.com/pn_naveen_/status/1385408246815412225,देशी जवान। jawan . जय हिंद।,भारत,"veteran ,  common man , still enjoying being criticised and criticise",,FALSE,460,421,0,71230,112692,2014-05-17T04:49:33Z,FALSE,,,,https://pbs.twimg.com/profile_banners/2500619276/1400303434,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1122363907794857984/fn8J1IfN_normal.jpg
3096109760,1385407205822795778,2021-04-23T01:36:32Z,AndheyHindu,"Theif who stole 182 vials of Covidshield and 440 vials of Covaxine from Jind(Haryana) civil hospital, left these at a tea stall, apologized..

Sorry, I didn't know it was Corona Vaccine.. https://t.co/LAydZ4aulZ",Twitter for Android,140,,,,FALSE,TRUE,0,98,,,,,,,,,,,,,,,,56321146,Navrang,en,,,,,,,,,,,,,,,,1385267948630118406,"Theif who stole 182 vials of Covidshield and 440 vials of Covaxine from Jind(Haryana) civil hospital, left these at a tea stall, apologized..

Sorry, I didn't know it was Corona Vaccine.. https://t.co/LAydZ4aulZ",2021-04-22T16:23:10Z,Twitter for Android,295,98,56321146,Navrang,नवरंग,23471,4817,82247,"New Delhi, India",Communication is what I'm learning for 15 years. Campaigns give me fresh lease of Life. I DO What I Like! Join https://t.co/TLoBBDSnY6,FALSE,,,,,,,|,|,|||||||,https://twitter.com/AndheyHindu/status/1385407205822795778,Beena Varshney,"","केवल हिन्दूत्व
मानवता सर्वोपरि जो एकमात्र हिन्दुत्व ही सिखाता",,FALSE,2644,569,129,463453,112632,2015-03-18T11:18:23Z,FALSE,,,,,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/597796094043508737/G7Rny6O3_normal.png
